world_rank,university_name,total_score,award,year
1,Harvard University,100,100,2011
2,Stanford University,72.6,78.4,2011
3,Massachusetts Institute of Technology (MIT),72,81.9,2011
4,"University of California, Berkeley",71.9,79.3,2011
5,University of Cambridge,70,96.7,2011
6,California Institute of Technology,64.7,68.8,2011
7,Princeton University,61.2,87.1,2011
8,Columbia University,60.4,67.4,2011
9,University of Chicago,57.5,83.9,2011
10,University of Oxford,56.4,57.6,2011
11,Yale University,54.8,44.9,2011
12,"University of California, Los Angeles",53,42.6,2011
13,Cornell University,51.5,51.1,2011
14,University of Pennsylvania,50.4,34.3,2011
15,"University of California, San Diego",49.5,35.8,2011
16,University of Washington,48.8,31.7,2011
17,"University of California, San Francisco",46.7,40.1,2011
18,The Johns Hopkins University,45.9,32.1,2011
19,University of Wisconsin - Madison,45.6,35.4,2011
20,University College London,44.8,32.1,2011
21,The University of Tokyo,44.6,14.1,2011
22,University of Michigan - Ann Arbor,44.1,0,2011
23,Swiss Federal Institute of Technology Zurich,43.2,36.1,2011
24,"The Imperial College of Science, Technology and Medicine",42.6,37.2,2011
25,University of Illinois at Urbana-Champaign,42.5,36.5,2011
26,University of Toronto,41.9,19.2,2011
27,Kyoto University,41.2,34.7,2011
28,"University of Minnesota, Twin Cities",40.8,16.2,2011
29,New York University,38.8,24.4,2011
30,Northwestern University,38.7,22.1,2011
31,Washington University in St. Louis,38.1,25.9,2011
32,University of Colorado at Boulder,37.2,30.7,2011
33,Rockefeller University,37.1,58.4,2011
33,"University of California, Santa Barbara",37.1,35.1,2011
35,Duke University,35.1,0,2011
35,The University of Texas at Austin,35.1,16.6,2011
37,University of British Columbia,34.9,18.9,2011
38,The University of Manchester,34.8,33.9,2011
38,"University of Maryland, College Park",34.8,19.9,2011
40,University of Paris Sud (Paris 11),34.6,53.9,2011
41,Pierre and Marie  Curie University - Paris 6,34.3,23.5,2011
42,University of North Carolina at Chapel Hill,34,16.2,2011
43,University of Copenhagen,33.7,24.1,2011
44,Karolinska Institute,33.5,27.2,2011
45,Pennsylvania State University - University Park,32.1,0,2011
46,University of Southern California,32,26.7,2011
47,Technical University Munich,31.8,23.5,2011
48,"University of California, Davis",31.7,0,2011
48,"University of California, Irvine",31.7,29.3,2011
48,Utrecht University,31.7,20.9,2011
51,The University of Texas Southwestern Medical Center at Dallas,31.6,33.1,2011
52,Vanderbilt University,31.3,29.5,2011
53,The University of Edinburgh,31.2,16.6,2011
54,University of Munich,30.9,22.8,2011
55,Carnegie Mellon University,30.6,32.7,2011
56,University of Zurich,30.5,26.7,2011
57,The Hebrew University of Jerusalem,30.3,28.1,2011
57,University of Pittsburgh,30.3,0,2011
59,"Rutgers, The State University of New Jersey - New Brunswick",30.1,19.9,2011
60,University of Melbourne,30,14.1,2011
61,Purdue University - West Lafayette,29.9,23.2,2011
