world_rank,university_name,country,research,citations,international_students,year
1,Harvard University,United States of America,98.7,98.8,25%,2011
2,California Institute of Technology,United States of America,98,99.9,27%,2011
3,Massachusetts Institute of Technology,United States of America,91.4,99.9,33%,2011
4,Stanford University,United States of America,98.1,99.2,22%,2011
5,Princeton University,United States of America,95.4,99.9,27%,2011
6,University of Cambridge,United Kingdom,94.1,94,34%,2011
6,University of Oxford,United Kingdom,93.9,95.1,34%,2011
8,"University of California, Berkeley",United States of America,99.3,97.8,15%,2011
9,Imperial College London,United Kingdom,94.5,88.3,51%,2011
10,Yale University,United States of America,89.7,91.5,20%,2011
11,"University of California, Los Angeles",United States of America,92.9,93.2,15%,2011
12,University of Chicago,United States of America,87.9,96.9,21%,2011
13,Johns Hopkins University,United States of America,89.2,92.3,23%,2011
14,Cornell University,United States of America,88.8,88.1,19%,2011
15,ETH Zurich â€“ Swiss Federal Institute of Technology Zurich,Switzerland,87.8,83.1,37%,2011
15,University of Michigan,United States of America,89.1,84.1,16%,2011
17,University of Toronto,Canada,87.9,82.2,15%,2011
18,Columbia University,United States of America,73.8,92.6,28%,2011
19,University of Pennsylvania,United States of America,82.7,93.6,20%,2011
20,Carnegie Mellon University,United States of America,79.3,95.7,35%,2011
21,University of Hong Kong,Hong Kong,71.4,96.1,38%,2011
22,University College London,United Kingdom,81.6,80.6,46%,2011
23,University of Washington,United States of America,77.1,95.9,13%,2011
24,Duke University,United States of America,71.5,92.3,17%,2011
25,Northwestern University,United States of America,68.8,95.3,15%,2011
26,University of Tokyo,Japan,91.9,58.1,10%,2011
27,Georgia Institute of Technology,United States of America,72.6,83.2,26%,2011
28,Pohang University of Science and Technology,South Korea,62.5,96.5,4%,2011
29,"University of California, Santa Barbara",United States of America,68,98.8,11%,2011
30,University of British Columbia,Canada,74.8,80.3,25%,2011
30,University of North Carolina at Chapel Hill,United States of America,75.1,85,8%,2011
32,"University of California, San Diego",United States of America,76.3,90.8,11%,2011
33,University of Illinois at Urbana-Champaign,United States of America,80.9,72.9,20%,2011
34,National University of Singapore,Singapore,72.6,78.7,34%,2011
35,McGill University,Canada,74.9,69,23%,2011
36,University of Melbourne,Australia,69.2,83.3,35%,2011
37,Peking University,China,61.3,72.2,14%,2011
38,Washington University in St Louis,United States of America,63,88.6,17%,2011
39,Ã‰cole Polytechnique,France,56.1,91.4,30%,2011
